name,tags,view_url,direct_url
Excited,anime;hug;excited,https://tenor.com/view/emunene-emu-emu-otori-nene-nene-kusanagi-gif-13413589856794327035,https://c.tenor.com/uiak6BECN_sAAAAC/emunene-emu.gif
Bounci,bouncy;bounci;jump,https://tenor.com/view/mindwave-wariowave-abbie-starlight-holohammer-gif-2204348127231437681,https://c.tenor.com/Hpdq8Uzta3EAAAAC/mindwave-wariowave.gif
Cuddles,anime;cuddle;sleepy;snuggle,https://tenor.com/view/bed-hug-cuddles-anime-sleep-gif-9157183477958011584,https://c.tenor.com/fxTZ2zrDasAAAAAC/bed-hug-cuddles.gif
Sleepy,anime;sleepy,https://tenor.com/view/shoujo-kageki-revue-starlight-anime-nana-daiba-sleeping-gif-24491384,https://c.tenor.com/qwmK6t1dc7sAAAAC/shoujo-kageki-revue-starlight-anime.gif
Sleepy,anime;sleepy,https://tenor.com/view/sleep-sleeping-anime-good-night-gif-25973735,https://c.tenor.com/-NDkB_h0KWsAAAAC/sleep-sleeping.gif
Sleepy,anime;sleepy,https://tenor.com/view/anime-fran-sleep-sleepy-tired-gif-8633431630979404250,https://c.tenor.com/d9AcU5UmEdoAAAAC/anime-fran.gif
Kiss,anime;kiss,https://tenor.com/view/anime-kiss-no-lick-gif-27630022,https://c.tenor.com/yQij1WWOLtkAAAAC/anime-kiss-no-lick.gif
Wack,anime;wack;slap,https://tenor.com/view/chainsaw-man-csm-csm-anime-chainsaw-man-anime-denji-gif-5542268096563459836,https://c.tenor.com/TOoXeDmlNvwAAAAC/chainsaw-man-csm.gif
Wack,anime;wack,https://tenor.com/view/anime-chika-fujiwara-slap-slapping-harisen-gif-18043240,https://c.tenor.com/Up9LqtY-AuIAAAAC/anime-chika-fujiwara.gif
Wave,miku;wave;hi;hai,https://tenor.com/view/miku-hello-wave-anime-gif-25752502,https://c.tenor.com/KM3VNP5d1FIAAAAC/miku-hello.gif
Yay!,anime;yay;yippie;woohoo,https://tenor.com/view/konata-konata-izumi-yipee-woo-yea-gif-14442947179583214409,https://c.tenor.com/yG-n8BTJk0kAAAAC/konata-konata-izumi.gif
